Direction,Price_Change_Category,PercentageChange_Category,Volume_Category
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Significant Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Significant Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Significant Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Significant Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Significant Gain,Medium
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Significant Gain,Low
Up,Small Rise,Neutral,Medium
Down,Big Drop,Moderate Loss,Medium
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Significant Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Medium
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Medium
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Big Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Down,Big Drop,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Moderate Loss,Low
Down,Small Drop,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,Low
Down,Big Drop,Neutral,Low
Up,Small Rise,Neutral,Low
Up,Big Rise,Neutral,Low
Down,Small Drop,Neutral,Low
Down,Big Drop,Moderate Loss,Low
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Significant Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Significant Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Significant Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Significant Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Significant Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Significant Loss,High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Significant Gain,High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Significant Gain,High
Up,Big Rise,Significant Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Significant Loss,Very High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Significant Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Medium
Up,Big Rise,Significant Gain,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Big Drop,Significant Loss,High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,Medium
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Medium
Up,Big Rise,Significant Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Significant Loss,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Small Drop,Moderate Loss,Medium
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Moderate Loss,Medium
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Small Rise,Neutral,Medium
Up,Big Rise,Significant Gain,Very High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Significant Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Up,Big Rise,Significant Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Significant Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Big Rise,Significant Gain,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Significant Gain,Very High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Medium
Down,Small Drop,Moderate Loss,Medium
Down,Small Drop,Neutral,Medium
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,Medium
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Medium
Up,Big Rise,Significant Gain,Very High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Significant Loss,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,Medium
Up,Small Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
